2026-03-28 15:23:56,822 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 15:31:33,473 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 15:31:34,459 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 15:31:34,462 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 15:31:36,164 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 16:07:24,787 | ERROR | src.utils.web_scraper | URL file not found: c:\Akash\Career\tests\kpn\bronze\urls.txt
2026-03-28 16:07:24,790 | INFO | src.utils.web_scraper | Successfully created 0 documents
2026-03-28 16:08:00,380 | ERROR | src.utils.web_scraper | URL file not found: c:\Akash\Career\tests\kpn\bronze\urls.txt
2026-03-28 16:08:00,388 | INFO | src.utils.web_scraper | Successfully created 0 documents
2026-03-28 16:08:33,691 | ERROR | src.utils.web_scraper | URL file not found: c:\Akash\Career\tests\kpn\bronze\urls.txt
2026-03-28 16:08:33,696 | INFO | src.utils.web_scraper | Successfully created 0 documents
2026-03-28 16:08:49,092 | ERROR | src.utils.web_scraper | URL file not found: c:\Akash\Career\tests\kpn\bronze\urls.txt
2026-03-28 16:08:49,097 | INFO | src.utils.web_scraper | Successfully created 0 documents
2026-03-28 16:10:21,640 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 16:10:21,641 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 16:10:21,642 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 16:10:22,717 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 16:10:23,764 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 16:10:24,498 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 16:10:24,980 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 16:10:27,732 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 16:18:51,738 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 16:18:52,087 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 16:18:52,097 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 16:18:53,114 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 16:28:35,526 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 16:28:35,528 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 16:28:35,528 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 16:28:36,043 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 16:28:36,639 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 16:28:37,280 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 16:28:37,841 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 16:28:38,518 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 16:28:50,194 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 16:28:50,451 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 16:28:50,451 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 16:28:51,034 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 16:28:55,368 | INFO | app | Creating new vector store at data\gold\KPN-news-articles
2026-03-28 16:28:56,255 | INFO | app | Vector store saved at data\gold\KPN-news-articles
2026-03-28 16:43:46,010 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
